Age,Embarked,Fare,Parch,PClass,Sex,SibSp,FamilySize,Survived
22,1,7.25,0,3,0,1,1,0
38,2,71.2833,0,1,1,1,1,1
26,1,7.925,0,3,1,0,0,1
35,1,53.1,0,1,1,1,1,1
35,1,8.05,0,3,0,0,0,0
30,3,8.4583,0,3,0,0,0,0
54,1,51.8625,0,1,0,0,0,0
2,1,21.075,1,3,0,3,4,0
27,1,11.1333,2,3,1,0,2,1
14,2,30.0708,0,2,1,1,1,1
4,1,16.7,1,3,1,1,2,1
58,1,26.55,0,1,1,0,0,1
20,1,8.05,0,3,0,0,0,0
39,1,31.275,5,3,0,1,6,0
14,1,7.8542,0,3,1,0,0,0
55,1,16,0,2,1,0,0,1
2,3,29.125,1,3,0,4,5,0
30,1,13,0,2,0,0,0,1
31,1,18,0,3,1,1,1,0
35.5,2,7.225,0,3,1,0,0,1
35,1,26,0,2,0,0,0,0
34,1,13,0,2,0,0,0,1
15,3,8.0292,0,3,1,0,0,1
28,1,35.5,0,1,0,0,0,1
8,1,21.075,1,3,1,3,4,0
38,1,31.3875,5,3,1,1,6,1
30,2,7.225,0,3,0,0,0,0
19,1,263,2,1,0,3,5,0
22,3,7.8792,0,3,1,0,0,1
30,1,7.8958,0,3,0,0,0,0
40,2,27.7208,0,1,0,0,0,0
35.5,2,146.5208,0,1,1,1,1,1
22,3,7.75,0,3,1,0,0,1
66,1,10.5,0,2,0,0,0,0
28,2,82.1708,0,1,0,1,1,0
42,1,52,0,1,0,1,1,0
30,2,7.2292,0,3,0,0,0,1
21,1,8.05,0,3,0,0,0,0
18,1,18,0,3,1,2,2,0
14,2,11.2417,0,3,1,1,1,1
40,1,9.475,0,3,1,1,1,0
27,1,21,0,2,1,1,1,0
30,2,7.8958,0,3,0,0,0,0
3,2,41.5792,2,2,1,1,3,1
19,3,7.8792,0,3,1,0,0,1
30,1,8.05,0,3,0,0,0,0
30,3,15.5,0,3,0,1,1,0
22,3,7.75,0,3,1,0,0,1
30,2,21.6792,0,3,0,2,2,0
18,1,17.8,0,3,1,1,1,0
7,1,39.6875,1,3,0,4,5,0
21,1,7.8,0,3,0,0,0,0
49,2,76.7292,0,1,1,1,1,1
29,1,26,0,2,1,1,1,1
65,2,61.9792,1,1,0,0,1,0
30,1,35.5,0,1,0,0,0,1
21,1,10.5,0,2,1,0,0,1
28.5,2,7.2292,0,3,0,0,0,0
5,1,27.75,2,2,1,1,3,1
11,1,46.9,2,3,0,5,7,0
22,2,7.2292,0,3,0,0,0,0
38,1,80,0,1,1,0,0,1
45,1,83.475,0,1,0,1,1,0
4,1,27.9,2,3,0,3,5,0
30,2,27.7208,0,1,0,0,0,0
4,2,15.2458,1,3,0,1,2,1
29,1,10.5,0,2,1,0,0,1
19,1,8.1583,0,3,0,0,0,0
17,1,7.925,2,3,1,4,6,1
26,1,8.6625,0,3,0,2,2,0
32,1,10.5,0,2,0,0,0,0
16,1,46.9,2,3,1,5,7,0
21,1,73.5,0,2,0,0,0,0
26,2,14.4542,0,3,0,1,1,0
32,1,56.4958,0,3,0,0,0,1
25,1,7.65,0,3,0,0,0,0
30,1,7.8958,0,3,0,0,0,0
30,1,8.05,0,3,0,0,0,0
0.83,1,29,2,2,0,0,2,1
30,1,12.475,0,3,1,0,0,1
22,1,9,0,3,0,0,0,0
29,1,9.5,0,3,0,0,0,1
22,3,7.7875,0,3,1,0,0,1
28,1,47.1,0,1,0,0,0,0
17,1,10.5,0,2,1,0,0,1
33,1,15.85,0,3,1,3,3,1
16,1,34.375,3,3,0,1,4,0
30,1,8.05,0,3,0,0,0,0
23,1,263,2,1,1,3,5,1
24,1,8.05,0,3,0,0,0,0
29,1,8.05,0,3,0,0,0,0
20,1,7.8542,0,3,0,0,0,0
46,1,61.175,0,1,0,1,1,0
26,1,20.575,2,3,0,1,3,0
59,1,7.25,0,3,0,0,0,0
30,1,8.05,0,3,0,0,0,0
71,2,34.6542,0,1,0,0,0,0
23,2,63.3583,1,1,0,0,1,1
34,1,23,1,2,1,0,1,1
34,1,26,0,2,0,1,1,0
28,1,7.8958,0,3,1,0,0,0
30,1,7.8958,0,3,0,0,0,0
21,1,77.2875,1,1,0,0,1,0
33,1,8.6542,0,3,0,0,0,0
37,1,7.925,0,3,0,2,2,0
28,1,7.8958,0,3,0,0,0,0
21,1,7.65,0,3,1,0,0,1
30,1,7.775,0,3,0,0,0,1
38,1,7.8958,0,3,0,0,0,0
22,3,24.15,0,3,1,1,1,1
47,1,52,0,1,0,0,0,0
14.5,2,14.4542,0,3,1,1,1,0
22,1,8.05,0,3,0,0,0,0
20,1,9.825,0,3,1,1,1,0
17,2,14.4583,0,3,1,0,0,0
21,1,7.925,0,3,0,0,0,0
70.5,3,7.75,0,3,0,0,0,0
29,1,21,0,2,0,1,1,0
24,2,247.5208,1,1,0,0,1,0
2,1,31.275,2,3,1,4,6,0
21,1,73.5,0,2,0,2,2,0
30,1,8.05,0,3,0,0,0,0
32.5,2,30.0708,0,2,0,1,1,0
32.5,1,13,0,2,1,0,0,1
54,1,77.2875,1,1,0,0,1,0
12,2,11.2417,0,3,0,1,1,1
30,3,7.75,0,3,0,0,0,0
24,1,7.1417,0,3,0,0,0,1
22,2,22.3583,1,3,1,1,2,1
45,1,6.975,0,3,0,0,0,0
33,2,7.8958,0,3,0,0,0,0
20,1,7.05,0,3,0,0,0,0
47,1,14.5,0,3,1,1,1,0
29,1,26,0,2,1,1,1,1
25,1,13,0,2,0,0,0,0
23,2,15.0458,0,2,0,0,0,0
19,1,26.2833,2,1,1,0,2,1
37,1,53.1,0,1,0,1,1,0
16,1,9.2167,0,3,0,0,0,0
24,2,79.2,0,1,0,0,0,0
35.5,2,15.2458,2,3,1,0,2,0
22,1,7.75,0,3,1,0,0,1
24,1,15.85,0,3,1,1,1,1
19,3,6.75,0,3,0,0,0,0
18,1,11.5,0,2,0,0,0,0
19,1,36.75,1,2,0,1,2,0
27,1,7.7958,0,3,0,0,0,1
9,1,34.375,2,3,1,2,4,0
36.5,1,26,2,2,0,0,2,0
42,1,13,0,2,0,0,0,0
51,1,12.525,0,2,0,0,0,0
22,1,66.6,0,1,1,1,1,1
55.5,1,8.05,0,3,0,0,0,0
40.5,1,14.5,2,3,0,0,2,0
30,1,7.3125,0,3,0,0,0,0
51,2,61.3792,1,1,0,0,1,0
16,3,7.7333,0,3,1,0,0,1
30,1,8.05,0,3,0,0,0,0
30,1,8.6625,0,3,0,0,0,0
4,1,69.55,2,3,0,8,10,0
44,1,16.1,1,3,0,0,1,0
40,1,15.75,0,2,1,0,0,1
26,1,7.775,0,3,0,0,0,0
17,1,8.6625,0,3,0,0,0,0
1,1,39.6875,1,3,0,4,5,0
9,1,20.525,2,3,0,0,2,1
35.5,1,55,1,1,1,0,1,1
45,1,27.9,4,3,1,1,5,0
30,1,25.925,0,1,0,0,0,0
28,1,56.4958,0,3,0,0,0,0
61,1,33.5,0,1,0,0,0,0
4,3,29.125,1,3,0,4,5,0
1,1,11.1333,1,3,1,1,2,1
21,1,7.925,0,3,0,0,0,0
56,2,30.6958,0,1,0,0,0,0
18,1,7.8542,1,3,0,1,2,0
4,1,25.4667,1,3,0,3,4,0
50,2,28.7125,0,1,1,0,0,0
30,1,13,0,2,0,0,0,0
36,1,0,0,3,0,0,0,0
22,1,69.55,2,3,1,8,10,0
30,2,15.05,0,2,0,0,0,0
9,1,31.3875,2,3,0,4,6,0
1,1,39,1,2,0,2,3,1
4,1,22.025,2,3,1,0,2,1
30,1,50,0,1,0,0,0,0
35.5,3,15.5,0,3,1,1,1,1
45,1,26.55,0,1,0,0,0,1
40,3,15.5,1,3,0,1,2,0
36,1,7.8958,0,3,0,0,0,0
32,1,13,0,2,1,0,0,1
19,1,13,0,2,0,0,0,0
19,1,7.8542,0,3,1,1,1,1
3,1,26,1,2,0,1,2,1
44,2,27.7208,0,1,1,0,0,1
58,2,146.5208,0,1,1,0,0,1
30,3,7.75,0,3,0,0,0,0
42,1,8.4042,1,3,0,0,1,0
22,3,7.75,0,3,1,0,0,1
24,1,13,0,2,1,0,0,0
28,1,9.5,0,3,0,0,0,0
30,1,69.55,2,3,0,8,10,0
34,1,6.4958,0,3,0,0,0,0
45.5,2,7.225,0,3,0,0,0,0
18,1,8.05,0,3,0,0,0,1
2,1,10.4625,1,3,1,0,1,0
32,1,15.85,0,3,0,1,1,0
26,2,18.7875,0,3,0,0,0,1
16,3,7.75,0,3,1,0,0,1
40,2,31,0,1,0,0,0,1
24,1,7.05,0,3,0,0,0,0
35,1,21,0,2,1,0,0,1
22,1,7.25,0,3,0,0,0,0
30,1,13,0,2,0,0,0,0
30,3,7.75,0,3,0,1,1,0
31,2,113.275,0,1,1,1,1,1
27,1,7.925,0,3,1,0,0,1
42,1,27,0,2,0,1,1,0
32,2,76.2917,0,1,1,0,0,1
30,1,10.5,0,2,0,0,0,0
16,1,8.05,0,3,0,0,0,1
27,1,13,0,2,0,0,0,0
51,1,8.05,0,3,0,0,0,0
30,1,7.8958,0,3,0,0,0,0
38,1,90,0,1,0,1,1,1
22,1,9.35,0,3,0,0,0,0
19,1,10.5,0,2,0,0,0,1
20.5,1,7.25,0,3,0,0,0,0
18,1,13,0,2,0,0,0,0
22,1,25.4667,1,3,1,3,4,0
35,1,83.475,0,1,1,1,1,1
29,1,7.775,0,3,0,0,0,0
59,1,13.5,0,2,0,0,0,0
5,1,31.3875,2,3,1,4,6,1
24,1,10.5,0,2,0,0,0,0
22,1,7.55,0,3,1,0,0,0
44,1,26,0,2,0,1,1,0
8,1,26.25,2,2,1,0,2,1
19,1,10.5,0,2,0,0,0,0
33,1,12.275,0,2,0,0,0,0
22,2,14.4542,0,3,1,1,1,0
22,3,15.5,0,3,1,1,1,1
29,1,10.5,0,2,0,0,0,0
22,1,7.125,0,3,0,0,0,0
30,2,7.225,0,3,0,0,0,0
44,3,90,0,1,0,2,2,0
25,1,7.775,0,3,1,0,0,0
24,1,14.5,2,2,1,0,2,1
37,1,52.5542,1,1,0,1,2,1
54,1,26,0,2,0,1,1,0
30,1,7.25,0,3,0,0,0,0
29,1,10.4625,1,3,1,1,2,0
62,1,26.55,0,1,0,0,0,0
30,1,16.1,0,3,0,1,1,0
41,1,20.2125,2,3,1,0,2,0
29,2,15.2458,2,3,1,0,2,1
35.5,2,79.2,0,1,1,0,0,1
30,1,86.5,0,1,1,0,0,1
35,2,512.3292,0,1,1,0,0,1
50,1,26,1,2,1,0,1,1
30,3,7.75,0,3,0,0,0,0
3,1,31.3875,2,3,0,4,6,1
52,1,79.65,1,1,0,1,2,0
40,1,0,0,1,0,0,0,0
22,3,7.75,0,3,1,0,0,0
36,1,10.5,0,2,0,0,0,0
16,1,39.6875,1,3,0,4,5,0
25,1,7.775,0,3,0,1,1,1
58,1,153.4625,1,1,1,0,1,1
35,1,135.6333,0,1,1,0,0,1
30,1,31,0,1,0,0,0,0
25,1,0,0,3,0,0,0,1
41,1,19.5,1,2,1,0,1,1
37,2,29.7,1,1,0,0,1,0
22,3,7.75,0,3,1,0,0,1
63,1,77.9583,0,1,1,1,1,1
45,1,7.75,0,3,1,0,0,0
30,1,0,0,2,0,0,0,0
7,3,29.125,1,3,0,4,5,0
35,1,20.25,1,3,1,1,2,1
65,3,7.75,0,3,0,0,0,0
28,1,7.8542,0,3,0,0,0,0
16,1,9.5,0,3,0,0,0,0
19,1,8.05,0,3,0,0,0,1
30,1,26,0,1,0,0,0,0
33,2,8.6625,0,3,0,0,0,0
30,1,9.5,0,3,0,0,0,1
22,1,7.8958,0,3,0,0,0,0
42,1,13,0,2,0,0,0,1
22,3,7.75,0,3,1,0,0,1
26,1,78.85,0,1,1,0,0,1
19,2,91.0792,0,1,1,1,1,1
36,2,12.875,0,2,0,0,0,0
24,1,8.85,0,3,1,0,0,0
24,1,7.8958,0,3,0,0,0,0
30,2,27.7208,0,1,0,0,0,0
23.5,2,7.2292,0,3,0,0,0,0
2,1,151.55,2,1,1,1,3,0
30,1,30.5,0,1,0,0,0,1
50,2,247.5208,1,1,1,0,1,1
22,3,7.75,0,3,1,0,0,1
30,3,23.25,0,3,0,2,2,1
19,1,0,0,3,0,0,0,0
22,3,12.35,0,2,1,0,0,1
30,1,8.05,0,3,0,0,0,0
0.92,1,151.55,2,1,0,1,3,1
22,2,110.8833,0,1,1,0,0,1
17,2,108.9,0,1,1,1,1,1
30,2,24,0,2,0,1,1,0
30,2,56.9292,0,1,1,0,0,1
24,2,83.1583,0,1,1,0,0,1
18,2,262.375,2,1,1,2,4,1
26,1,26,1,2,1,1,2,0
28,1,7.8958,0,3,0,0,0,0
43,1,26.25,1,2,0,1,2,0
26,1,7.8542,0,3,1,0,0,1
24,1,26,0,2,1,1,1,1
54,1,14,0,2,0,0,0,0
31,1,164.8667,2,1,1,0,2,1
40,2,134.5,1,1,1,1,2,1
22,1,7.25,0,3,0,0,0,0
27,1,7.8958,0,3,0,0,0,0
30,3,12.35,0,2,1,0,0,1
22,1,29,1,2,1,1,2,1
30,1,69.55,2,3,0,8,10,0
36,2,135.6333,0,1,1,0,0,1
61,1,6.2375,0,3,0,0,0,0
36,1,13,0,2,1,0,0,1
31,1,20.525,1,3,1,1,2,1
16,2,57.9792,1,1,1,0,1,1
22,3,23.25,0,3,1,2,2,1
45.5,1,28.5,0,1,0,0,0,0
38,1,153.4625,1,1,0,0,1,0
16,1,18,0,3,0,2,2,0
35.5,1,133.65,0,1,1,1,1,1
30,1,7.8958,0,3,0,0,0,0
29,1,66.6,0,1,0,1,1,0
41,2,134.5,0,1,1,0,0,1
45,1,8.05,0,3,0,0,0,1
45,1,35.5,0,1,0,0,0,0
2,1,26,1,2,0,1,2,1
24,1,263,2,1,1,3,5,1
28,1,13,0,2,0,0,0,0
25,1,13,0,2,0,0,0,0
36,1,13,0,2,0,0,0,0
24,1,13,0,2,1,0,0,1
40,1,13,0,2,1,0,0,1
35.5,1,16.1,0,3,1,1,1,1
3,1,15.9,1,3,0,1,2,1
42,1,8.6625,0,3,0,0,0,0
23,1,9.225,0,3,0,0,0,0
30,1,35,0,1,0,0,0,0
15,2,7.2292,1,3,0,1,2,0
25,1,17.8,0,3,0,1,1,0
30,2,7.225,0,3,0,0,0,0
28,1,9.5,0,3,0,0,0,0
22,1,55,1,1,1,0,1,1
38,1,13,0,2,1,0,0,0
22,3,7.8792,0,3,1,0,0,1
22,3,7.8792,0,3,1,0,0,1
40,1,27.9,4,3,0,1,5,0
29,2,27.7208,0,2,0,1,1,0
45,2,14.4542,1,3,1,0,1,0
35,1,7.05,0,3,0,0,0,0
30,3,15.5,0,3,0,1,1,0
30,1,7.25,0,3,0,0,0,0
60,2,75.25,0,1,1,1,1,1
35.5,2,7.2292,0,3,1,0,0,1
22,3,7.75,0,3,1,0,0,1
24,2,69.3,0,1,1,0,0,1
25,2,55.4417,0,1,0,1,1,1
18,1,6.4958,0,3,0,1,1,0
19,1,8.05,0,3,0,0,0,0
22,2,135.6333,0,1,0,0,0,0
3,1,21.075,1,3,1,3,4,0
35.5,2,82.1708,0,1,1,1,1,1
22,1,7.25,0,3,1,0,0,1
27,2,211.5,2,1,0,0,2,0
20,2,4.0125,0,3,0,0,0,0
19,1,7.775,0,3,0,0,0,0
42,2,227.525,0,1,1,0,0,1
1,2,15.7417,2,3,1,0,2,1
32,1,7.925,0,3,0,0,0,0
35,1,52,0,1,1,1,1,1
30,1,7.8958,0,3,0,0,0,0
18,1,73.5,0,2,0,0,0,0
1,1,46.9,2,3,0,5,7,0
36,1,13,0,2,1,0,0,1
30,3,7.7292,0,3,0,0,0,0
17,2,12,0,2,1,0,0,1
36,1,120,2,1,0,1,3,1
21,1,7.7958,0,3,0,0,0,1
28,1,7.925,0,3,0,2,2,0
23,2,113.275,0,1,1,1,1,1
24,1,16.7,2,3,1,0,2,1
22,1,7.7958,0,3,0,0,0,0
31,1,7.8542,0,3,1,0,0,0
46,1,26,0,2,0,0,0,0
23,1,10.5,0,2,0,0,0,0
28,1,12.65,0,2,1,0,0,1
39,1,7.925,0,3,0,0,0,1
26,1,8.05,0,3,0,0,0,0
21,1,9.825,0,3,1,1,1,0
28,1,15.85,0,3,0,1,1,0
20,1,8.6625,0,3,1,0,0,0
34,1,21,0,2,0,1,1,0
51,1,7.75,0,3,0,0,0,0
3,1,18.75,1,2,0,1,2,1
21,1,7.775,0,3,0,0,0,0
22,1,25.4667,1,3,1,3,4,0
30,1,7.8958,0,3,0,0,0,0
30,3,6.8583,0,3,0,0,0,0
33,3,90,0,1,1,1,1,1
30,1,0,0,2,0,0,0,0
44,1,7.925,0,3,0,0,0,1
35.5,1,8.05,0,3,1,0,0,0
34,1,32.5,1,2,1,1,2,1
18,1,13,2,2,1,0,2,1
30,1,13,0,2,0,0,0,0
10,1,24.15,2,3,1,0,2,0
30,2,7.8958,0,3,0,0,0,0
21,3,7.7333,0,3,0,0,0,0
29,1,7.875,0,3,0,0,0,0
28,1,14.4,1,3,1,1,2,0
18,1,20.2125,1,3,0,1,2,0
30,1,7.25,0,3,0,0,0,0
28,1,26,0,2,1,1,1,1
19,1,26,0,2,1,0,0,1
30,3,7.75,0,3,0,0,0,0
32,1,8.05,0,3,0,0,0,1
28,1,26.55,0,1,0,0,0,1
35.5,1,16.1,0,3,1,1,1,1
42,1,26,0,2,1,1,1,1
17,1,7.125,0,3,0,0,0,0
50,1,55.9,0,1,0,1,1,0
14,1,120,2,1,1,1,3,1
21,1,34.375,2,3,1,2,4,0
24,1,18.75,3,2,1,2,5,1
64,1,263,4,1,0,1,5,0
31,1,10.5,0,2,0,0,0,0
45,1,26.25,1,2,1,1,2,1
20,1,9.5,0,3,0,0,0,0
25,1,7.775,0,3,0,1,1,0
28,1,13,0,2,1,0,0,1
30,1,8.1125,0,3,0,0,0,1
4,1,81.8583,2,1,0,0,2,1
13,1,19.5,1,2,1,0,1,1
34,1,26.55,0,1,0,0,0,1
5,2,19.2583,1,3,1,2,3,1
52,1,30.5,0,1,0,0,0,1
36,1,27.75,2,2,0,1,3,0
30,1,19.9667,0,3,0,1,1,0
30,2,27.75,0,1,0,0,0,0
49,2,89.1042,0,1,0,1,1,1
30,1,8.05,0,3,0,0,0,0
29,2,7.8958,0,3,0,0,0,1
65,1,26.55,0,1,0,0,0,0
35.5,1,51.8625,0,1,1,1,1,1
50,1,10.5,0,2,1,0,0,1
30,3,7.75,0,3,0,0,0,0
48,1,26.55,0,1,0,0,0,1
34,1,8.05,0,3,0,0,0,0
47,1,38.5,0,1,0,0,0,0
